Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
compat/recallocarray.rs                  67                67     0.00%           1                 1     0.00%          48                48     0.00%          28                28     0.00%
compat/setproctitle.rs                   37                 0   100.00%           6                 0   100.00%          26                 0   100.00%           4                 0   100.00%
compat/strlcat.rs                        48                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
compat/strlcpy.rs                        13                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
compat/strtonum.rs                       66                 8    87.88%           2                 0   100.00%          46                 7    84.78%          12                 5    58.33%
compat/tree.rs                          687                78    88.65%          48                 3    93.75%         536                47    91.23%         150                27    82.00%
compat/unvis.rs                         135                80    40.74%           2                 0   100.00%         119                79    33.61%          24                14    41.67%
compat/vis.rs                           270               106    60.74%          13                 4    69.23%         130                45    65.38%          30                17    43.33%
control.rs                             1217               610    49.88%          46                19    58.70%         763               363    52.42%         170               104    38.82%
control_notify.rs                       227                28    87.67%          14                 0   100.00%         141                22    84.40%          26                11    57.69%
environ_.rs                             457                20    95.62%          24                 1    95.83%         256                14    94.53%          36                 8    77.78%
event_.rs                                67                 0   100.00%          12                 0   100.00%          60                 0   100.00%           0                 0         -
event_/event_libevent.rs                 26                26     0.00%           8                 8     0.00%          22                22     0.00%           0                 0         -
file.rs                                1069               293    72.59%          31                 5    83.87%         782               194    75.19%         210               108    48.57%
format.rs                              6742              1210    82.05%         282                 8    97.16%        4234               659    84.44%        1546               492    68.18%
format_draw_.rs                        1458               754    48.29%          16                 4    75.00%        1176               631    46.34%         316               203    35.76%
grid_.rs                               1911               373    80.48%          54                 3    94.44%        1314               256    80.52%         426               117    72.54%
grid_reader_.rs                         449                81    81.96%          18                 0   100.00%         336                71    78.87%         172                68    60.47%
grid_view.rs                            264                84    68.18%          17                 4    76.47%         178                52    70.79%          14                 5    64.29%
hyperlinks_.rs                          304                 4    98.68%          16                 0   100.00%         187                 3    98.40%          24                 4    83.33%
image_.rs                               199               171    14.07%           7                 3    57.14%         118                98    16.95%          22                22     0.00%
image_sixel.rs                          841               841     0.00%          18                18     0.00%         566               566     0.00%         202               202     0.00%
input.rs                               2762              1773    35.81%          85                37    56.47%        1943              1262    35.05%         626               485    22.52%
input_keys.rs                           537               440    18.06%          13                 8    38.46%         370               308    16.76%         190               175     7.89%
job_.rs                                 470               203    56.81%          17                 2    88.24%         349               138    60.46%         118                77    34.75%
key_bindings_.rs                        359               141    60.72%          20                 5    75.00%         241                88    63.49%          52                26    50.00%
key_string.rs                           370               139    62.43%           6                 1    83.33%         266                95    64.29%         130                55    57.69%
layout.rs                              1137               466    59.01%          33                 7    78.79%         859               364    57.63%         322               183    43.17%
layout_custom.rs                        346               266    23.12%           8                 5    37.50%         252               201    20.24%          86                74    13.95%
layout_set.rs                           871               698    19.86%          17                14    17.65%         474               371    21.73%         134               113    15.67%
lib.rs                                  345               148    57.10%          63                26    58.73%         294               144    51.02%          28                11    60.71%
libc.rs                                 492                82    83.33%          50                 2    96.00%         281                42    85.05%          52                28    46.15%
log.rs                                  155               135    12.90%          11                 8    27.27%         107                93    13.08%          16                14    12.50%
main.rs                                 102                38    62.75%           8                 1    87.50%          59                14    76.27%          12                 6    50.00%
menu_.rs                                681               405    40.53%          13                 6    53.85%         560               341    39.11%         218               170    22.02%
mode_tree.rs                           1371               743    45.81%          48                24    50.00%        1131               655    42.09%         378               276    26.98%
names.rs                                246                 3    98.78%          15                 0   100.00%         163                 3    98.16%          44                 6    86.36%
notify.rs                               469                84    82.09%          12                 2    83.33%         328                58    82.32%          90                 9    90.00%
options_.rs                            1528               521    65.90%          74                10    86.49%        1045               333    68.13%         408               189    53.68%
osdep.rs                                 95                11    88.42%           3                 0   100.00%          56                 6    89.29%          18                 5    72.22%
paste.rs                                281                32    88.61%          17                 1    94.12%         203                26    87.19%          54                18    66.67%
popup.rs                               1077               845    21.54%          22                16    27.27%         807               613    24.04%         256               227    11.33%
proc.rs                                 451                70    84.48%          17                 2    88.24%         325                41    87.38%          54                20    62.96%
regsub.rs                               150                41    72.67%           3                 0   100.00%         117                26    77.78%          28                15    46.43%
resize.rs                               423                85    79.91%          11                 1    90.91%         357                71    80.11%         182                79    56.59%
screen_.rs                              757               293    61.29%          25                 5    80.00%         580               202    65.17%         228               119    47.81%
screen_redraw.rs                       1346               973    27.71%          22                11    50.00%         894               660    26.17%         458               407    11.14%
screen_write.rs                        2868              1221    57.43%          68                19    72.06%        1817               734    59.60%         722               407    43.63%
server.rs                               562               192    65.84%          20                 8    60.00%         426               167    60.80%         120                63    47.50%
server_acl.rs                           135                69    48.89%          18                 8    55.56%          93                42    54.84%          22                16    27.27%
server_client.rs                       3631              2276    37.32%          62                24    61.29%        2807              1864    33.59%         898               630    29.84%
server_fn.rs                            528               149    71.78%          26                 2    92.31%         361               100    72.30%         136                63    53.68%
session_.rs                             791               335    57.65%          44                16    63.64%         514               207    59.73%         162               103    36.42%
spawn.rs                                589               182    69.10%           3                 0   100.00%         399               122    69.42%         146                57    60.96%
status.rs                              2473              1696    31.42%          56                27    51.79%        1769              1215    31.32%         556               439    21.04%
style_.rs                               596               175    70.64%           8                 0   100.00%         469               149    68.23%         230                88    61.74%
tmux.rs                                 597               163    72.70%          21                 3    85.71%         365               110    69.86%         144                73    49.31%
tmux_protocol.rs                         55                23    58.18%           2                 1    50.00%          60                28    53.33%           0                 0         -
tty_.rs                                4059              2448    39.69%         119                49    58.82%        2858              1689    40.90%        1236               893    27.75%
tty_acs.rs                               85                71    16.47%          12                11     8.33%          60                51    15.00%          20                16    20.00%
tty_features.rs                         109                12    88.99%           6                 1    83.33%          75                15    80.00%          24                 6    75.00%
tty_keys.rs                            1583               865    45.36%          25                 5    80.00%        1208               647    46.44%         512               382    25.39%
tty_term_.rs                            733               172    76.53%          20                 3    85.00%         511               131    74.36%         146                61    58.22%
utf8.rs                                 961               277    71.18%          50                 6    88.00%         620               199    67.90%         212               114    46.23%
utf8_combined.rs                        165                81    50.91%           8                 0   100.00%         144                64    55.56%          94                70    25.53%
window_.rs                             2131               836    60.77%          96                20    79.17%        1510               562    62.78%         566               323    42.93%
window_buffer.rs                        706               399    43.48%          23                16    30.43%         453               263    41.94%         102                82    19.61%
window_client.rs                        460               217    52.83%          19                12    36.84%         294               137    53.40%          56                39    30.36%
window_clock.rs                         229                 5    97.82%           6                 0   100.00%         166                 5    96.99%          38                 5    86.84%
window_copy.rs                         7050              2360    66.52%         204                33    83.82%        4691              1618    65.51%        1406               822    41.54%
window_customize.rs                    2046              1430    30.11%          37                22    40.54%        1510              1061    29.74%         454               390    14.10%
window_tree.rs                         1883              1073    43.02%          43                27    37.21%        1249               718    42.51%         338               267    21.01%
xmalloc.rs                              217                55    74.65%          25                 7    72.00%         138                42    69.57%          20                12    40.00%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 88870             36377    59.07%        2843               694    75.59%       60598             25241    58.35%       20378             11597    43.09%
